и	and,also
не	not
я	I
что	what,that
а	and,but,oh
это	this is,that is,it
на	on ,on ,on ,to ,onto,at ,for
в	in,to
как	how,what,like
ты	you
с	with,from,since,off,against
вы	you ,you 
так	so,exactly how
у	by,with,from 
мы	we
меня	genitive and accusative of I
же	same
все	all,the whole 
вот	here
он	he,it 
ну	well
то	then
мне	dative of 
но	but
если	if,in case
от	from ,from ,from ,from ,from ,from ,for,of
уже	already
по	along,about,by the means of,hit or punch somewhere,after a certain age,to ,on the subject of
нет	no,not,not any
тебе	dative of 
когда	when
да	yes,but,and
только	only,just
ёжик	crew,hedgehog
надо	need,it is necessary
бы	would 
за	behind,at ,at ,for ,for ,for ,for ,following after,over ,beyond,out of 
чтобы	so that,in order to
быть	to be,has been
его	genitive of ,genitive of 
там	there
конечно	certainly,of course
тебя	genitive and accusative of 
мой	my
ничего	nothing,never mind,not badly
есть	there is
они	they
чем	than,instead of
просто	it is simple,just
очень	very
дерево	tree
нас	we
будет	will be
сегодня	today
о	about,of,on,against
друг	friend
из	from ,out of
теперь	now
здесь	here
тут	here,now
кто	who
совсем	entirely
нужно	it is necessary
к	towards,to
она	she
их	genitive and accusative of 
сейчас	now,soon,at once
можно	one can ,one may 
куда	where ,wherever
для	for ,to
день	day,afternoon
что-то	something
спасибо	thanks
где	where
лучше	better
хорошо	it is good
время	time
или	or
относительно	relatively,relating to
всегда	always
вам	dative of ,dative of 
про	about
почему	why
такой	such,be like this
даже	even
сколько	how much
без	without,to 
потом	afterwards
ли	whether
какой	which
покрасить	colour
один	one,alone
привет	hello 
раз	time,one,once,if
вдохновение	inspiration
потому	because
смотри	siehe
нам	dative of 
туда	there
иногда	sometimes
урожай	harvest,crop
плохо	it is bad,hard
лось	elk
море	sea
ой	oh ,reinforcing 
сначала	firstly
себе	Self
говорить	speak,suggest
никто	nobody
больше	more
сделать	make,do
два	two
дело	business,matter,thing,art,truth
целый	whole,intact,integer
чего	what,why,what 
сказать	to say
земляника	strawberry
где-то	somewhere
вас	you
мнение	opinion
до	to ,to ,before,until,up to 
другой	other
им	dative of 
место	place,region,site,room,job,piece of luggage
об	about
под	under,below,underneath,to go down,to go,over
пятно	spot,stain
себя	oneself
жизнь	life
нельзя	one cannot,one should not
всего	in all
много	much,many,a lot of
тоже	also
сам	ourselves
откуда	from where
интересно	it is interesting,interested in
стихия	element
зачем	what for
правда	truth,justice,sure enough,though
пусть	let
давай	let
случайно	by chance
ясень	ash
наверно	probably
слово	word,speech,promise
далеко	far
невероятно	it is incredible
твой	your
бездействие	inaction
дома	at home
вместе	together
тот	that
оно	it
опять	again
помочь	help
делать	make
память	memory
как-то	somehow
тогда	then
ваш	your,yours
вообще	in general,always,altogether,at all,anyway
скорость	speed
поговорить	have a talk
правильно	right,correctly,properly
сюда	here
ходить	go
ка	Red Army,Authentication Code
убрать	tidy,take away,gather
ре	re
капельку	a little
сорняк	weed
уж	really,not that
что-нибудь	anything
главное	main 
вдруг	suddenly
тихо	quietly,calmly,slowly
больно	it is painful
вещь	thing
мусор	trash
кому	who 
люди	people,servants,Name of the letter l 
тень	shade,shadow,hint 
близко	near
прекрасно	excellently
долго	a long time
мало	little,too little
капут	end
легко	lightly,easily
пример	example
аппарат	machine,bodies,organs
инкогнито	incognito
солнце	sun
решать	decide
научиться	learn
сообща	together
чувство	sense,feeling
идти	to go,to be
похоже	probably,it seems
наверное	probably,for sure
летать	fly
услышать	to hear
этот	this
отлично	excellently
пожалуйста	please,you are welcome,here you go
давно	how long,for a long time
ему	dative of ,dative of 
кто-нибудь	somebody
пока	while,bye ,until,so far
бабочка	butterfly
честь	to honour
язык	tongue,language,prisoner
том	Labor Association Of Youth
кровь	blood
почти	almost
лагуна	lagoon
думать	think
изолировать	isolate
сила	power,vigor,energy
чай	tea
честно	honestly
час	hour,a watch
рассматривать	examine,consider
побыть	to stay 
какое-то	some kind of
нормально	normally
ключ	key
дружище	old chap
краска	paint
ждать	wait
настроение	mood
пора	it is time to,it is necessary to
отсюда	from here
ах	Ah
бесследно	without leaving a trace
какие-то	some kind of
парень	boy,guy,boyfriend
перед	fore
утро	morning
ладно	well
простите	forgive me
громко	loud
действительно	really
какой-то	some kind of
смешной	ridiculous
писать	write,paint
ужас	terror
видно	evidently,it is visible,one is outstanding
всё	always,everything
красиво	beautifully
немного	a little
весь	village
однозначно	unambiguously,definitely certainly or undoubtedly
при	at,with,in the presence of,in the time of
недавно	recently
бездействовать	be inactive
анекдот	anecdote
сидеть	sit
угодно	wanted,anything,needed
любезный	dear polite obliging
через	across,through,through,in 
столько	so much
никогда	never
некультурный	uneducated
понятно	it is clear
отходы	waste products
дальше	farther,here on
точно	exactly,definitely,accurate
почувствовать	feel
балласт	ballast
ведь	in fact,given that
таки	so yes,still
сомневаться	to doubt
чудо	miracle,wonderwork,wondrous creature
обтирание	sponge down
знать	know
после	after
странный	strange
телеграф	telegraph
кто-то	somebody
совершенно	perfectly,totally
общаться	communicate
слышать	to hear
варенье	preserve
нервный	nervous
домик	cottage or small house
мир	world,peace
абсолютно	absolutely
особенно	particularly
штука	piece thing each
работать	work,open
раньше	before,earlier
солнечно	sunnily
мимо	past
папа	dad,Pope
мастер	master,a skilled worker
дом	house
коллега	colleague
над	above,on,at
около	near
вроде	seem
например	for example
тайна	mystery,secret
маленький	little,short,trifling
сдоба	shortening
послушать	listen
вокруг	around
чернила	ink
выводить	take out
разговор	conversation
бегемот	hippopotamus
слишком	too 
быстро	fast
сильный	strong
пообщаться	communicate,interact
пикник	picnic
нож	knife
наплевать	not care about,spit
система	system
ядовитый	poisonous
скорняк	furrier
иметь	to have
дышать	to breathe
куст	bush
колокольчик	small handbell,bluebell flower
едва	hardly
метод	method
прислушиваться	listen
хлипкий	weak
одновременно	at the same time
помогите	Help
поставить	to put
сигнал	signal
ссориться	argue
разум	mind
перейти	get across,convert
гусеница	caterpillar
еда	food
разница	difference
откармливать	fatten
терпеть	tolerate
дорога	road
кума	godmother
сериал	series,TV series
власть	power,authority
ребята	lads,children
здравствуй	hello
навестить	to visit
клиент	client
против	against
балкон	balcony
завтрак	breakfast
паяльник	soldering iron
рифма	rhyme
куда-нибудь	somewhere
сохранить	keep,to preserve,to retain
ерунда	nonsense
бесполезно	it is useless
решительный	decisive
сачок	butterfly net,loafer
гораздо	much,it
дозор	patrol
сесть	to sit down,to be imprisoned,to die 
цель	aim,purpose
словом	in a nutshell
ниже	lower
нибудь	any,some
убедить	convince
словно	as if
между	between,among,inter
монотонный	monotonous
вовремя	on time
недоразумение	misunderstanding
настроиться	to be tuned in
простоять	stay
кроме	except
воспарить	soar
рака	shrine
разделить	divide
культура	culture
повод	cause,reason
многоуважаемый	respected
царство	kingdom,realm
купаться	to bathe
выдох	exhalation
великолепно	splendidly,magnificently
зеркало	mirror
упражнять	exercise
собака	dog,the at 
малыш	small child
потеря	loss,waste
расстояние	distance
